Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781377163

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    27 | steps   13,824 | sps   2882 | ep_rew    -3.80 | ep_len     95 | n_eps    5 | pol -0.0012 | val  0.1641 | ent -1.3724 | kl 0.000031 | ev  0.183 | lr 2.99e-04
iter    28 | steps   14,336 | sps   2693 | ep_rew    -3.93 | ep_len     95 | n_eps    5 | pol -0.0011 | val  0.2128 | ent -1.3658 | kl 0.000042 | ev  0.282 | lr 2.99e-04
iter    29 | steps   14,848 | sps   2864 | ep_rew    -3.90 | ep_len     79 | n_eps    6 | pol -0.0017 | val  0.1474 | ent -1.3638 | kl 0.000128 | ev  0.544 | lr 2.99e-04
iter    30 | steps   15,360 | sps   2890 | ep_rew    -4.97 | ep_len    108 | n_eps    5 | pol -0.0009 | val  0.3424 | ent -1.3569 | kl 0.000083 | ev  0.278 | lr 2.99e-04
iter    31 | steps   15,872 | sps   2908 | ep_rew    -4.03 | ep_len     97 | n_eps    7 | pol -0.0012 | val  0.3268 | ent -1.3648 | kl 0.000039 | ev  0.043 | lr 2.98e-04
iter    32 | steps   16,384 | sps   3007 | ep_rew    -4.98 | ep_len    115 | n_eps    4 | pol -0.0017 | val  0.2780 | ent -1.3652 | kl 0.000071 | ev  0.135 | lr 2.98e-04
iter    33 | steps   16,896 | sps   3002 | ep_rew    -3.85 | ep_len     95 | n_eps    4 | pol -0.0008 | val  0.0944 | ent -1.3525 | kl 0.000033 | ev  0.672 | lr 2.98e-04
iter    34 | steps   17,408 | sps   2986 | ep_rew    -4.32 | ep_len    106 | n_eps    6 | pol -0.0006 | val  0.2068 | ent -1.3580 | kl 0.000075 | ev  0.364 | lr 2.98e-04
iter    35 | steps   17,920 | sps   2991 | ep_rew    -2.40 | ep_len     78 | n_eps    5 | pol -0.0009 | val  0.1366 | ent -1.3606 | kl 0.000036 | ev  0.248 | lr 2.98e-04
iter    36 | steps   18,432 | sps   2980 | ep_rew    -3.09 | ep_len    106 | n_eps    4 | pol -0.0010 | val  0.2051 | ent -1.3543 | kl 0.000033 | ev  0.235 | lr 2.98e-04
iter    37 | steps   18,944 | sps   2829 | ep_rew    -4.98 | ep_len     98 | n_eps    6 | pol -0.0005 | val  0.1265 | ent -1.3475 | kl 0.000029 | ev  0.203 | lr 2.98e-04
iter    38 | steps   19,456 | sps   2833 | ep_rew    -4.45 | ep_len    102 | n_eps    7 | pol -0.0005 | val  0.1236 | ent -1.3417 | kl 0.000023 | ev  0.519 | lr 2.98e-04
iter    39 | steps   19,968 | sps   3024 | ep_rew    -2.58 | ep_len    107 | n_eps    4 | pol -0.0007 | val  0.0843 | ent -1.3553 | kl 0.000036 | ev  0.436 | lr 2.98e-04
