Device : cpu
Seed   : 42
Total timesteps : 3,000,000
Steps/iter      : 512
Total iters     : 5859
Parallel envs   : 4

Creating LunarLander-v3 environments...
obs_dim   : 8
n_actions : 4
Policy params : 5,061

Starting training — run: lunar_ppo_1781379942

  iter |     steps |    sps |   ep_rew | ep_len | n_eps |     pol |     val |     ent |       kl |     ev | lr
iter    28 | steps   14,336 | sps   3192 | ep_rew  -125.37 | ep_len    108 | n_eps    6 | pol -0.0002 | val  0.0183 | ent -1.3818 | kl 0.000002 | ev  0.488 | lr 1.00e-04
iter    29 | steps   14,848 | sps   3324 | ep_rew  -143.10 | ep_len     86 | n_eps    5 | pol -0.0000 | val  0.0296 | ent -1.3818 | kl 0.000001 | ev -0.178 | lr 1.00e-04
iter    30 | steps   15,360 | sps   2715 | ep_rew  -146.82 | ep_len     99 | n_eps    5 | pol -0.0003 | val  0.0218 | ent -1.3806 | kl 0.000001 | ev  0.533 | lr 1.00e-04
iter    31 | steps   15,872 | sps   3244 | ep_rew  -111.78 | ep_len    103 | n_eps    6 | pol -0.0005 | val  0.0187 | ent -1.3815 | kl 0.000003 | ev  0.181 | lr 1.00e-04
iter    32 | steps   16,384 | sps   3242 | ep_rew  -132.73 | ep_len     87 | n_eps    5 | pol -0.0002 | val  0.0220 | ent -1.3815 | kl 0.000004 | ev  0.407 | lr 1.00e-04
iter    33 | steps   16,896 | sps   3238 | ep_rew  -177.56 | ep_len    100 | n_eps    5 | pol -0.0003 | val  0.0309 | ent -1.3791 | kl 0.000003 | ev  0.599 | lr 1.00e-04
iter    34 | steps   17,408 | sps   3262 | ep_rew  -151.69 | ep_len     88 | n_eps    7 | pol -0.0003 | val  0.0158 | ent -1.3829 | kl 0.000002 | ev  0.742 | lr 1.00e-04
iter    35 | steps   17,920 | sps   3297 | ep_rew  -112.43 | ep_len     87 | n_eps    5 | pol -0.0001 | val  0.0137 | ent -1.3823 | kl 0.000001 | ev  0.676 | lr 1.00e-04
iter    36 | steps   18,432 | sps   3301 | ep_rew  -151.63 | ep_len     94 | n_eps    5 | pol -0.0005 | val  0.0307 | ent -1.3766 | kl 0.000006 | ev  0.418 | lr 1.00e-04
iter    37 | steps   18,944 | sps   3237 | ep_rew  -172.90 | ep_len     93 | n_eps    6 | pol -0.0002 | val  0.0298 | ent -1.3817 | kl 0.000003 | ev  0.196 | lr 1.00e-04
